date,source,generation_gwh,unit
2015-12-01,Electricity Generation by bagasse,55.72,GWh
2015-12-01,Electricity Generation by Solar,10.87,GWh
2016-01-01,Total Electricity Generation by all sources,6770.54,GWh
2016-01-01,Electricity Generation by Hydel,842.95,GWh
2016-01-01,Electricity Generation by Coal,12.49,GWh
2016-01-01,Electricity Generation by High Speed Diesel (HSD),367.3,GWh
2016-01-01,Electricity Generation by Residual Fuel Oil (RFO),3387.48,GWh
2016-01-01,Electricity Generation by Gas,1717.82,GWh
2016-01-01,Electricity Generation by Nuclear,280.64,GWh
2016-01-01,Electricity Imported from Iran,33.33,GWh
2016-01-01,Electricity Generation by Mixed,32.43,GWh
2016-01-01,Electricity Generation by Wind,27.88,GWh
2016-01-01,Electricity Generation by bagasse,59.22,GWh
2016-01-01,Electricity Generation by Solar,9.0,GWh
2016-02-01,Total Electricity Generation by all sources,6397.42,GWh
2016-02-01,Electricity Generation by Hydel,2213.26,GWh
2016-02-01,Electricity Generation by Coal,5.13,GWh
2016-02-01,Electricity Generation by High Speed Diesel (HSD),3.44,GWh
2016-02-01,Electricity Generation by Residual Fuel Oil (RFO),2133.0,GWh
2016-02-01,Electricity Generation by Gas,1460.28,GWh
2016-02-01,Electricity Generation by Nuclear,404.35,GWh
2016-02-01,Electricity Imported from Iran,32.68,GWh
2016-02-01,Electricity Generation by Mixed,30.29,GWh
2016-02-01,Electricity Generation by Wind,39.29,GWh
2016-02-01,Electricity Generation by bagasse,61.87,GWh
2016-02-01,Electricity Generation by Solar,13.83,GWh
2016-03-01,Total Electricity Generation by all sources,6735.0,GWh
2016-03-01,Electricity Generation by Hydel,1855.42,GWh
2016-03-01,Electricity Generation by Coal,12.36,GWh
2016-03-01,Electricity Generation by High Speed Diesel (HSD),11.89,GWh
2016-03-01,Electricity Generation by Residual Fuel Oil (RFO),1992.02,GWh
2016-03-01,Electricity Generation by Gas,2231.05,GWh
2016-03-01,Electricity Generation by Nuclear,439.2,GWh
2016-03-01,Electricity Imported from Iran,32.82,GWh
